text	emotion	language
Θεέ μου, εσύ τον απήγαγες.	1, 7	Greek
- Φράνι, φιλαράκο..	7	Greek
-Oι νεκρoί δεν είναι πρόβλημα.	1	Greek
Και τι δεν κάνουν οι γυναίκες για τον έρωτα!	5, 7	Greek
-Κι εσύ συμφωνείς; -Ναι!  Και εσείς το ίδιο!	1, 3	Greek
- Έχεις μιλήσει στον Νικ;	2	Greek
Για άκουσε με. Ανήκεις σ' εμένα.	4	Greek
Nα ασχoληθεί με τo περιβάλλoν.	2	Greek
Όπως να χάσει τον έλεγχο, ας πούμε;!	7	Greek
Δεν γινεται να το 'κανα εγω.	4	Greek
Τον πέτυχα!	5	Greek
Έλα στην Αγγλία.	2	Greek
Περιμένω.	1	Greek
Ο Κουήγκ εξέθεσε σε κίνδυνο τις ζωές των αντρών.	4	Greek
Ίσως να το παράκανα λιγάκι.	5	Greek
Τι βλέπεις εδώ;	8	Greek
Νιώθω άχρηστη, επειδή γεννήθηκα χωρίς αυτό το δώρο.	6	Greek
-Θα μου σπάσεις το χέρι!	1, 2, 4	Greek
Δεν έχουν κόρνες οι παλιάτσοι;	1	Greek
Άϊκερμαν!	8	Greek
Μου φάνηκε ωραίος λόγος.	5, 6	Greek
Ξέρω ότι μπορούμε να ξεπεράσουμε τις μικροπρέπειες.	2, 8	Greek
Αν και δε γνωριστήκαμε, νιώθω ότι έχουμε πολλά κοινά.	7	Greek
Ζεις πραγματικά με ένα ζευγάρι προσκόπων!	1	Greek
Βάλε τα στο κολάρο σου.	1	Greek
Αυτός ο γέρος πρέπει να είναι ξεροκέφαλος.	4	Greek
Τα ψάρια που πιάνεις είναι πάντα τα μεγαλύτερα.	6	Greek
Θα σε βοηθήσουνε.	2	Greek
Εϊ, κλόουν!	1, 3	Greek
Ο κύριος Τασκ ήταν μεγάλος χορηγός της καμπάνιας του Γουίλ.	5, 8	Greek
Έχεις πρόβλημα μ' αυτό;	1, 2	Greek
Δεν έχετε γιο εσείς!	1	Greek
Κάποιος!	1	Greek
Δεν θα 'θελα τη μάνα μου μαζί μου.	1	Greek
Η Πολέμους ήταν επικίνδυνη.	1, 3	Greek
Μιλήστε!	6, 7	Greek
Θα επιστρέψει σήμερα, μετά το φαί.	5	Greek
